time,bangor,milford,portrush,liverpool,porterin,holyhead,heysham,laldudno,fishgaurd,barmouth,millport,dublin,oriel,howth,arklow
1938.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2446,NA,NA,NA
1938.125,NA,NA,NA,NA,NA,6790,NA,NA,NA,NA,NA,2306,NA,NA,NA
1938.2083,NA,NA,NA,NA,NA,6839,NA,NA,NA,NA,NA,2434,NA,NA,NA
1938.2917,NA,NA,NA,NA,NA,6732,NA,NA,NA,NA,NA,2281,NA,NA,NA
1938.375,NA,NA,NA,NA,NA,6879,NA,NA,NA,NA,NA,2269,NA,NA,NA
1938.4583,NA,NA,NA,NA,NA,6815,NA,NA,NA,NA,NA,2333,NA,NA,NA
1938.5417,NA,NA,NA,NA,NA,6930,NA,NA,NA,NA,NA,2333,NA,NA,NA
1938.625,NA,NA,NA,NA,NA,6979,NA,NA,NA,NA,NA,2333,NA,NA,NA
1938.7083,NA,NA,NA,NA,NA,6946,NA,NA,NA,NA,NA,2370,NA,NA,NA
1938.7917,NA,NA,NA,NA,NA,7083,NA,NA,NA,NA,NA,2446,NA,NA,NA
1938.875,NA,NA,NA,NA,NA,7223,NA,NA,NA,NA,NA,2574,NA,NA,NA
1938.9583,NA,NA,NA,NA,NA,6982,NA,NA,NA,NA,NA,2473,NA,NA,NA
1939.0417,NA,NA,NA,NA,NA,7089,NA,NA,NA,NA,NA,2626,NA,NA,NA
1939.125,NA,NA,NA,NA,NA,7049,NA,NA,NA,NA,NA,2434,NA,NA,NA
1939.2083,NA,NA,NA,NA,NA,6900,NA,NA,NA,NA,NA,2336,NA,NA,NA
1939.2917,NA,NA,NA,NA,NA,6955,NA,NA,NA,NA,NA,2422,NA,NA,NA
1939.375,NA,NA,NA,NA,NA,6775,NA,NA,NA,NA,NA,2382,NA,NA,NA
1939.4583,NA,NA,NA,NA,NA,6927,NA,NA,NA,NA,NA,2294,NA,NA,NA
1939.5417,NA,NA,NA,NA,NA,7013,NA,NA,NA,NA,NA,2406,NA,NA,NA
1939.625,NA,NA,NA,NA,NA,6970,NA,NA,NA,NA,NA,2309,NA,NA,NA
1939.7083,NA,NA,NA,NA,NA,6982,NA,NA,NA,NA,NA,2358,NA,NA,NA
1939.7917,NA,NA,NA,NA,NA,6997,NA,NA,NA,NA,NA,2470,NA,NA,NA
1939.875,NA,NA,NA,NA,NA,7086,NA,NA,NA,NA,NA,2574,NA,NA,NA
1939.9583,NA,NA,NA,NA,NA,6924,NA,NA,NA,NA,NA,2486,NA,NA,NA
1940.0417,NA,NA,NA,NA,NA,7119,NA,NA,NA,NA,NA,2458,NA,NA,NA
1940.125,NA,NA,NA,NA,NA,7132,NA,NA,NA,NA,NA,2470,NA,NA,NA
